"","pr","X0"
"1536",3646,0
"1537",3648,0
"1538",3649,0
"1539",3651,0
"1540",3657,0
"1541",3660,0
"1542",3663,0
"1543",3664,0
"1544",3667,0
"1545",3669,0
"1546",3672,0
"1547",3673,0
"1548",3678,0
"1549",3679,0
"1550",3686,0
"1551",3687,0
"1552",3693,0
"1553",3703,0
"1554",3705,0
"1555",3706,0
"1556",3707,0
"1557",3716,0
"1558",3723,0
"1559",3727,0
"1560",3728,0
"1561",3730,0
"1562",3736,0
"1563",3737,0
"1564",3750,0
"1565",3752,0
"1566",3754,0
"1567",3757,0
"1568",3763,0
"1569",3768,0
"1570",3772,0
"1571",3774,0
"1572",3775,0
"1573",3776,0
"1574",3777,0
"1575",3780,0
"1576",3782,0
"1577",3787,0
"1578",3788,0
"1579",3791,0
"1580",3796,0
"1581",3799,0
"1582",3802,0
"1583",3805,0
"1584",3809,0
"1585",3810,0
"1586",3811,0
"1587",3812,0
"1588",3813,0
"1589",3814,0
"1590",3815,0
"1591",3816,0
"1592",3817,0
"1593",3818,0
"1594",3819,0
"1595",3822,0
"1596",3823,0
"1597",3830,0
"1598",3832,0
"1599",3836,0
"1600",3837,0
"1601",3838,0
"1602",3842,0
"1603",3843,0
"1604",3844,0
"1605",3845,0
"1606",3846,0
"1607",3848,0
"1608",3849,0
"1609",3850,0
"1610",3852,0
"1611",3854,0
"1612",3855,0
"1613",3856,0
"1614",3858,0
"1615",3859,0
"1616",3860,0
"1617",3861,0
"1618",3864,0
"1619",3866,0
"1620",3868,0
"1621",3869,0
"1622",3870,0
"1623",3879,0
"1624",3885,0
"1625",3889,0
"1626",3892,0
"1627",3894,0
"1628",3896,0
"1629",3897,0
"1630",3905,0
"1631",3914,0
"1632",3915,0
"1633",3917,0
"1634",3920,0
"1635",3921,0
"1636",3923,0
"1637",3924,0
"1638",3925,0
"1639",3926,0
"1640",3928,0
"1641",3929,0
"1642",3930,0
"1643",3934,0
"1644",3937,0
"1645",3938,0
"1646",3939,0
"1647",3940,0
"1648",3941,0
"1649",3943,0
"1650",3945,0
"1651",3946,0
"1652",3948,0
"1653",3952,0
"1654",3953,0
"1655",3956,0
"1656",3959,0
"1657",3966,0
"1658",3969,0
"1659",3971,0
"1660",3972,0
"1661",3973,0
"1662",3974,0
"1663",3975,0
"1664",3980,0
"1665",3981,0
"1666",3986,0
"1667",3989,0
"1668",3990,0
"1669",3991,0
"1670",3992,0
"1671",3994,0
"1672",3995,0
"1673",3997,0
"1674",3999,0
"1675",4000,0
"1676",4003,0
"1677",4006,0
"1678",4008,0
"1679",4010,0
"1680",4013,0
"1681",4014,0
"1682",4017,0
"1683",4018,0
"1684",4020,0
"1685",4021,0
"1686",4022,0
"1687",4023,0
"1688",4024,0
"1689",4025,0
"1690",4026,0
"1691",4027,0
"1692",4028,0
"1693",4032,0
"1694",4033,0
"1695",4036,0
"1696",4038,0
"1697",4041,0
"1698",4053,0
"1699",4055,0
"1700",4064,0
"1701",4067,0
"1702",4070,0
"1703",4072,0
"1704",4078,0
"1705",4084,0
